Country Name,HDI,CT,SMR,W-NP,GDP,TS,M-Imp,M-Exp,EB-GS,PSE,SSE,HE/c,IM-DPT,MR<5
Qatar,0.855,0,6.4,0,3.978882147,22.49266643,3044213402.79,131715934065.93,20,89.55523682,91.17249298,2106.355503,89,8.6
Cyprus,0.854,0,5,12.5,-1.531451634,74.24907513,6761135050.00,1811409750.00,0.334520219,96.91133118,99.77831268,1819.112996,99,2.9
Malta,0.853,0,6,14.3,8.305633821,27,6817862000.00,2930272450.00,7.830290162,98.78781891,94.8015976,2470.59851,99,6.9
Poland,0.852,0,15,24.3,3.282570093,15.66499521,2236744970.00,139483491058.00,3.094556224,96.41780853,85.94788962,910.2837803,98,5
Lithuania,0.846,0,15,24.1,3.495016165,27,3439406790.00,32364119900.00,-0.650111764,97.8781662,108.2596512,1063.421183,93,4.9
Chile,0.845,0,9.9,15.8,1.909693358,9.605268157,7283137400.00,74923880000.00,-0.110282186,93.03748322,100.6461868,1137.356265,95,8.5
Saudi Arabia,0.845,0,5,19.9,3.652481701,14.94826054,1738336000.00,139483491058.00,-5.432653518,96.41564941,85.94788962,1147.445577,98,13.8
Portugal,0.841,0,13.6,31.3,0.893093762,20.49296013,7842414450.00,63839207600.00,0.727346792,98.60871124,119.1351929,2096.823176,98,3.6
Hungary,0.834,0,16,10.1,4.04732118,27,10492253870.00,110618881000.00,8.91048834,90.7696228,105.2037735,1036.623859,99,5.5
Latvia,0.828,0,16,18,2.119918779,25.1891934,1764952100.00,14556773050.00,-1.130974876,96.36553192,119.4924469,920.7037654,92,5.5
Argentina,0.826,0,14.2,36.6,-2.512615321,5.802210521,6522980000.00,68407400000.00,-0.839672447,99.3467865,85.94788962,605.1878448,94,12.1
Bahrain,0.823,0,6.5,7.5,4.34984233,14.83616887,13910000000.00,20130000000.00,12.92795549,94.25382996,102.1308975,1242.844177,98,7.8
